iter	Accuracy	Logloss
153	0.7706666667	0.4739359064
154	0.7693333333	0.4737569784
155	0.7693333333	0.4736685635
156	0.7693333333	0.4726948947
157	0.772	0.4721531583
158	0.7733333333	0.4711938924
159	0.772	0.4707263251
160	0.7733333333	0.4704185593
161	0.7746666667	0.4698358453
162	0.7746666667	0.4695967301
163	0.7746666667	0.4695593058
164	0.772	0.4682994135
165	0.7733333333	0.4681866044
166	0.7746666667	0.4679040975
167	0.776	0.4676937457
168	0.776	0.4674776915
169	0.776	0.4667697126
170	0.7746666667	0.4665496229
171	0.7786666667	0.4654787506
172	0.78	0.4653735093
173	0.78	0.4647288006
174	0.78	0.4642502801
175	0.78	0.4640050994
176	0.7786666667	0.4627542423
177	0.78	0.4619822585
178	0.78	0.4617446577
179	0.78	0.4613993874
180	0.784	0.4604494194
181	0.7866666667	0.4601327917
182	0.7853333333	0.4597207044
183	0.7866666667	0.4593255347
184	0.7853333333	0.4588278892
185	0.7866666667	0.4582973131
186	0.7866666667	0.457745671
187	0.788	0.4574712448
188	0.7893333333	0.4569619314
189	0.788	0.4564635756
190	0.7906666667	0.4564328904
191	0.7906666667	0.45620864
192	0.7906666667	0.4560985379
193	0.7933333333	0.455764332
194	0.7933333333	0.4552355961
195	0.7946666667	0.4549802468
196	0.7946666667	0.4543191658
197	0.7946666667	0.4542239955
198	0.796	0.4538739854
199	0.796	0.4533293759
200	0.7973333333	0.4524091956
201	0.8026666667	0.4509084957
202	0.8026666667	0.4497426634
203	0.8013333333	0.4496585633
204	0.804	0.4493145961
205	0.8053333333	0.4479303159
206	0.8066666667	0.4473786879
207	0.8066666667	0.4472059249
208	0.8093333333	0.4461962709
209	0.8093333333	0.4456322499
210	0.812	0.4451645225
211	0.8133333333	0.4441351219
212	0.8133333333	0.4429057558
213	0.8146666667	0.4421875826
214	0.8146666667	0.4414816475
215	0.816	0.4410140302
216	0.816	0.4406015739
217	0.8146666667	0.4398482928
218	0.8146666667	0.4398056458
219	0.8146666667	0.4383789976
220	0.8146666667	0.4383627902
221	0.8186666667	0.4378818341
222	0.8213333333	0.4367507073
223	0.8213333333	0.436273616
224	0.8213333333	0.4361906099
225	0.82	0.4353773342
226	0.82	0.4351521781
227	0.82	0.4343039306
228	0.82	0.4342289819
229	0.8226666667	0.4335206906
230	0.824	0.4328308155
231	0.824	0.4327799496
232	0.824	0.4327776802
233	0.8253333333	0.432634634
234	0.8253333333	0.4322916387
235	0.8253333333	0.4322593441
236	0.824	0.4306187885
237	0.8253333333	0.4296127286
238	0.824	0.4291555851
239	0.8266666667	0.4284374601
240	0.8253333333	0.4271500212
241	0.8266666667	0.4260034204
242	0.828	0.4253333334
243	0.8306666667	0.4246404084
244	0.828	0.4238210455
245	0.8306666667	0.4225399575
246	0.8306666667	0.4216853245
247	0.8306666667	0.4206010725
248	0.8333333333	0.4202900827
249	0.8373333333	0.4192109567
250	0.8386666667	0.4179644391
251	0.8373333333	0.4173110566
252	0.8373333333	0.4163573229
253	0.84	0.4157193281
254	0.84	0.4151376153
255	0.84	0.4149795261
256	0.8426666667	0.4144148022
257	0.8426666667	0.4135855194
258	0.8426666667	0.4133768321
259	0.8426666667	0.4124229239
260	0.8426666667	0.4110133123
261	0.8426666667	0.4109725873
262	0.84	0.4105414596
263	0.84	0.4104515821
264	0.844	0.4091650604
265	0.844	0.4087540621
266	0.844	0.4087137103
267	0.844	0.4087020417
268	0.844	0.4084657404
269	0.8426666667	0.4070046816
270	0.8426666667	0.406844675
271	0.8426666667	0.4063105856
272	0.8426666667	0.406245912
273	0.8466666667	0.4049596514
274	0.848	0.40488123
275	0.844	0.4039233878
276	0.8466666667	0.4026251912
277	0.8493333333	0.4012567018
278	0.8506666667	0.3998489933
279	0.852	0.3991319369
280	0.8533333333	0.3989799905
281	0.8533333333	0.3986583074
282	0.852	0.3984716149
283	0.852	0.3972540537
284	0.852	0.396980172
285	0.852	0.3963561909
286	0.852	0.3963202167
287	0.852	0.3945693873
288	0.8506666667	0.3945688061
289	0.8506666667	0.3939890347
290	0.8506666667	0.3935061549
291	0.8533333333	0.3919091647
292	0.8546666667	0.3906896962
293	0.8546666667	0.3899681191
294	0.8546666667	0.3898620485
295	0.8546666667	0.3889953242
296	0.8546666667	0.3879936741
297	0.856	0.3871967712
298	0.856	0.3866765114
299	0.856	0.385187599
300	0.8586666667	0.3834656836
301	0.8586666667	0.3829813192
302	0.8586666667	0.3828898505
303	0.86	0.3820880018
304	0.8586666667	0.3812665189
305	0.8586666667	0.3802224895
306	0.8586666667	0.3799711301
307	0.8586666667	0.3796177459
308	0.86	0.3789943185
309	0.86	0.3787145405
310	0.8613333333	0.3779178327
311	0.864	0.3760928439
312	0.864	0.3751708014
313	0.8653333333	0.3743262139
314	0.868	0.3732671319
315	0.868	0.3731059191
316	0.8706666667	0.372591732
317	0.8693333333	0.3722833051
318	0.8706666667	0.3710516056
319	0.8706666667	0.370996396
320	0.8693333333	0.370033139
321	0.8693333333	0.3695196516
322	0.8733333333	0.3683378477
323	0.8733333333	0.3675600582
324	0.872	0.3672296308
325	0.8733333333	0.3667480666
326	0.872	0.3656851652
327	0.872	0.3653563034
328	0.872	0.3641170404
329	0.8746666667	0.3625746617
330	0.876	0.3623285307
331	0.88	0.3598467188
332	0.8826666667	0.3578290578
333	0.884	0.356753097
334	0.884	0.3555110129
335	0.8853333333	0.3548836794
336	0.884	0.3543574471
337	0.884	0.3535363115
338	0.884	0.3529957211
339	0.8866666667	0.3522622986
340	0.8853333333	0.3511655164
341	0.8866666667	0.3500802996
342	0.8866666667	0.350068677
343	0.888	0.3491035317
344	0.888	0.3483383582
345	0.888	0.3475907657
346	0.888	0.3468672099
347	0.8866666667	0.3463072337
348	0.888	0.3462860628
349	0.8893333333	0.3455175143
350	0.8906666667	0.3449561563
351	0.8906666667	0.3441356503
352	0.8906666667	0.3433922063
353	0.892	0.3424415324
354	0.8946666667	0.3411680066
355	0.8946666667	0.3406539483
356	0.8973333333	0.3393240493
357	0.8973333333	0.3389532299
358	0.8973333333	0.3388513231
359	0.8973333333	0.3381876067
360	0.8973333333	0.3380937836
361	0.8986666667	0.3376072272
362	0.8986666667	0.3367188848
363	0.8986666667	0.3363139406
364	0.8986666667	0.3358189695
365	0.9	0.3347125679
366	0.9013333333	0.33412418
367	0.9013333333	0.3338370246
368	0.9013333333	0.3335902425
369	0.9013333333	0.3327493047
370	0.9	0.3320159019
371	0.9	0.3317061685
372	0.9026666667	0.3310309008
373	0.9026666667	0.3307015972
374	0.904	0.330446824
375	0.9026666667	0.3296987482
376	0.9053333333	0.328140345
377	0.9053333333	0.3272054701
378	0.9066666667	0.3259383712
379	0.9066666667	0.3251231909
380	0.908	0.3242301255
381	0.908	0.3238255715
382	0.908	0.3230974546
383	0.9106666667	0.3226185285
384	0.912	0.3220126295
385	0.912	0.3210913657
386	0.912	0.3198130486
387	0.912	0.3196037416
388	0.912	0.3186413962
389	0.9106666667	0.318333573
390	0.9106666667	0.3181765031
391	0.9106666667	0.3179716506
392	0.9106666667	0.3178374379
393	0.912	0.3176171979
394	0.9133333333	0.3167176757
395	0.9146666667	0.3164745298
396	0.9146666667	0.3163352626
397	0.9146666667	0.3161285587
398	0.912	0.3155154423
399	0.9146666667	0.31421808
400	0.9146666667	0.3139940167
