iter	Passed	Remaining
401	21810	59571
402	21927	59689
403	22009	59710
404	22093	59732
405	22180	59766
406	22262	59786
407	22343	59801
408	22431	59835
409	22513	59852
410	22592	59862
411	22675	59880
412	22761	59907
413	22841	59917
414	22934	59960
415	23016	59976
416	23103	60002
417	23194	60039
418	23276	60051
419	23311	59942
420	23385	59936
421	23473	59963
422	23547	59954
423	23641	59995
424	23721	60002
425	23803	60011
426	23892	60038
427	23985	60075
428	24076	60107
429	24161	60123
430	24238	60118
431	24329	60148
432	24415	60165
433	24499	60176
434	24588	60199
435	24678	60224
436	24761	60231
437	24854	60263
438	24941	60280
439	25027	60292
440	25108	60294
441	25190	60296
442	25276	60309
443	25375	60352
444	25474	60394
445	25559	60403
446	25645	60412
447	25730	60421
448	25823	60447
449	25909	60455
450	25992	60457
451	26089	60489
452	26168	60482
453	26250	60479
454	26343	60503
455	26423	60495
456	26509	60502
457	26601	60522
458	26688	60528
459	26772	60530
460	26869	60557
461	26956	60564
462	27048	60581
463	27146	60610
464	27233	60616
465	27313	60606
466	27403	60615
467	27485	60609
468	27573	60613
469	27665	60629
470	27752	60630
471	27834	60623
472	27925	60633
473	28009	60628
474	28096	60630
475	28187	60639
476	28268	60625
477	28348	60610
478	28444	60629
479	28531	60629
480	28619	60631
481	28715	60648
482	28804	60649
483	28894	60653
484	28993	60677
485	29087	60688
486	29176	60688
487	29268	60695
488	29354	60690
489	29439	60682
490	29521	60666
491	29616	60678
492	29700	60665
493	29784	60653
494	29902	60711
495	30005	60737
496	30095	60735
497	30183	60730
498	30262	60705
499	30360	60720
500	30440	60699
501	30521	60679
502	30609	60670
503	30691	60651
504	30769	60624
505	30860	60623
506	30942	60603
507	31023	60581
508	31114	60579
509	31192	60549
510	31271	60522
511	31359	60513
512	31439	60488
513	31516	60458
514	31607	60453
515	31682	60418
516	31768	60402
517	31864	60407
518	31945	60382
519	32020	60345
520	32102	60322
521	32187	60304
522	32275	60292
523	32365	60283
524	32446	60258
525	32523	60223
526	32612	60213
527	32696	60192
528	32784	60177
529	32876	60169
530	32954	60137
531	33038	60114
532	33126	60099
533	33199	60057
534	33276	60022
535	33360	59998
536	33438	59966
537	33519	59937
538	33606	59918
539	33689	59891
540	33769	59860
541	33860	59849
542	33935	59809
543	34011	59771
544	34096	59747
545	34173	59709
546	34256	59682
547	34343	59661
548	34424	59630
549	34500	59592
550	34586	59569
551	34675	59550
552	34763	59532
553	34859	59524
554	34945	59501
555	35029	59474
556	35123	59463
557	35210	59441
558	35293	59411
559	35381	59389
560	35461	59355
561	35542	59322
562	35632	59303
563	35718	59276
564	35800	59244
565	35904	59247
566	35995	59231
567	36086	59212
568	36185	59207
569	36269	59176
570	36362	59160
571	36465	59160
572	36551	59133
573	36629	59092
574	36714	59063
575	36797	59029
576	36881	58997
577	36967	58968
578	37042	58922
579	37120	58881
580	37201	58843
581	37279	58801
582	37356	58758
583	37439	58724
584	37525	58694
585	37599	58645
586	37685	58614
587	37770	58582
588	37859	58557
589	37938	58515
590	38028	58490
591	38117	58463
592	38195	58420
593	38279	58386
594	38363	58351
595	38446	58315
596	38534	58285
597	38624	58259
598	38708	58224
599	38795	58193
600	38881	58160
601	38969	58129
602	39114	58185
603	39218	58178
604	39295	58131
605	39381	58098
606	39465	58060
607	39563	58043
608	39660	58024
609	39755	58003
610	39876	58019
611	39988	58022
612	40071	57983
613	40158	57949
614	40261	57936
615	40344	57897
616	40431	57861
617	40520	57829
618	40601	57786
619	40692	57756
620	40794	57742
621	40890	57720
622	40978	57685
623	41067	57653
624	41145	57603
625	41236	57573
626	41322	57534
627	41402	57488
628	41491	57454
629	41567	57403
630	41653	57363
631	41747	57336
632	41828	57291
633	41909	57245
634	41996	57208
635	42074	57157
636	42164	57124
637	42277	57121
638	42360	57077
639	42453	57047
640	42553	57025
641	42660	57014
642	42771	57005
643	42884	57001
644	42983	56977
645	43068	56935
646	43155	56895
647	43230	56840
648	43325	56811
649	43412	56769
650	43492	56720
651	43578	56679
652	43661	56632
653	43758	56604
654	43853	56574
655	43941	56534
656	44025	56488
657	44107	56441
658	44188	56391
659	44274	56348
660	44358	56303
661	44446	56263
662	44539	56228
663	44623	56182
664	44709	56138
665	44798	56099
666	44886	56057
667	44967	56007
668	45053	55963
669	45129	55907
670	45206	55850
671	45291	55805
672	45369	55751
673	45460	55712
674	45553	55675
675	45645	55639
676	45741	55605
677	45839	55575
678	45942	55551
679	46043	55523
680	46141	55491
681	46230	55449
682	46311	55396
683	46397	55351
684	46485	55307
685	46564	55253
686	46659	55216
687	46748	55174
688	46828	55120
689	46922	55083
690	47005	55031
691	47087	54980
692	47173	54933
693	47254	54880
694	47337	54829
695	47419	54777
