iter	Accuracy	Logloss
97	0.8274666667	0.4167555124
98	0.8276444444	0.4165648759
99	0.8276444444	0.4165085405
100	0.8276888889	0.4164854744
101	0.8276888889	0.4163369477
102	0.8276444444	0.4160603497
103	0.828	0.4157133154
104	0.8279111111	0.4156827266
105	0.8278222222	0.4155021167
106	0.8278222222	0.4153621892
107	0.8276888889	0.4151709883
108	0.8276888889	0.4151396608
109	0.8277333333	0.4149072029
110	0.8279111111	0.4147843073
111	0.8279111111	0.4147840913
112	0.8279111111	0.4147825378
113	0.8280444444	0.4146729635
114	0.828	0.4145717559
115	0.8279111111	0.4145672871
116	0.8278666667	0.4145669356
117	0.828	0.4143856889
118	0.8280444444	0.4142325362
119	0.8281333333	0.4141270144
120	0.8282666667	0.4139723188
121	0.8283111111	0.4138205924
122	0.8284888889	0.4137482278
123	0.8284	0.413707007
124	0.8284444444	0.4136304655
125	0.8285777778	0.4134122521
126	0.8285333333	0.41323104
127	0.8286666667	0.4130964109
128	0.8287111111	0.4130632111
129	0.8287555556	0.413002449
130	0.8287555556	0.4127618643
131	0.8287555556	0.4127613157
132	0.8286666667	0.412736822
133	0.8288888889	0.4125393612
134	0.8288	0.4122913471
135	0.8288	0.4122904396
136	0.8288888889	0.4122056097
137	0.8289333333	0.4120905452
138	0.8288	0.4120249114
139	0.8289333333	0.4118990756
140	0.8289333333	0.4118254852
141	0.8291111111	0.4116578585
142	0.8292444444	0.411598997
143	0.8292	0.4115450812
144	0.8292	0.4114650456
145	0.8292	0.4113573579
146	0.8292	0.4113569882
147	0.8292	0.4113542099
148	0.8292	0.4113289244
149	0.8291555556	0.4112597135
150	0.8291555556	0.4112593055
151	0.8293333333	0.4111538366
152	0.8293777778	0.4111415889
153	0.8291555556	0.4110334183
154	0.8292888889	0.4110065272
155	0.8293777778	0.4108570329
156	0.8295111111	0.4108009435
157	0.8295111111	0.4107068054
158	0.8294666667	0.4106987842
159	0.8294666667	0.4106533445
160	0.8299111111	0.4105512157
161	0.8299555556	0.4103832066
162	0.8299555556	0.4102479312
163	0.8299555556	0.410245872
164	0.8299555556	0.4102458627
165	0.8299555556	0.4102458152
166	0.8299555556	0.4102457703
167	0.8303555556	0.410106638
168	0.8304444444	0.4099434302
169	0.8305777778	0.4098824262
170	0.8305333333	0.409763381
171	0.8305777778	0.4097410067
172	0.8304888889	0.409727495
173	0.8304888889	0.409727426
174	0.8304888889	0.4096722714
175	0.8306666667	0.4095846282
176	0.8307555556	0.4094461353
177	0.8308	0.4094398933
178	0.8307111111	0.4094270983
179	0.8307555556	0.4093998245
180	0.8307111111	0.4093842685
181	0.8307555556	0.4093799388
182	0.8307111111	0.4093761187
183	0.8305333333	0.4091944775
184	0.8304444444	0.4089680438
185	0.8304444444	0.4088855267
186	0.8306222222	0.4087710177
187	0.8305777778	0.4086137758
188	0.8305777778	0.4085125653
189	0.8302222222	0.4082911741
190	0.8304444444	0.40821269
191	0.8306666667	0.4081357048
192	0.8305777778	0.4080387095
193	0.8304888889	0.4079939597
194	0.8307111111	0.4077757081
195	0.8307555556	0.4077754089
196	0.8308	0.4077599987
197	0.8307555556	0.4077374195
198	0.8306666667	0.4075634353
199	0.8308888889	0.40753214
200	0.8309333333	0.4074869097
201	0.8309333333	0.4074409792
202	0.8310222222	0.4074148003
203	0.8310222222	0.4073874658
204	0.8311555556	0.4073307902
205	0.8311111111	0.4073265925
206	0.8311555556	0.4072574199
207	0.8316	0.4070607232
208	0.8315555556	0.4070205779
209	0.8315555556	0.4070205768
210	0.8314666667	0.4070149369
211	0.8315111111	0.4069729342
212	0.8313777778	0.4068669472
213	0.8313777778	0.4068567648
214	0.8313777778	0.4068567443
215	0.8314666667	0.4068163139
216	0.8314666667	0.4068162854
217	0.8315555556	0.406814805
218	0.8318222222	0.4065175657
219	0.8319111111	0.4065031176
220	0.8321333333	0.4063042906
221	0.8319111111	0.4062444765
222	0.8321333333	0.4061614877
223	0.8323111111	0.4060728063
224	0.8322666667	0.4060655314
225	0.8321777778	0.40593911
226	0.8321777778	0.4059282572
227	0.8322222222	0.4058564769
228	0.8323555556	0.4057355568
229	0.8322666667	0.4056723456
230	0.8324	0.4055645161
231	0.8324444444	0.4055253945
232	0.8324	0.4054829608
233	0.8325333333	0.4052526824
234	0.8325777778	0.4052061781
235	0.8326666667	0.4050593171
236	0.8327555556	0.4049903077
237	0.8328444444	0.4048896954
238	0.8330222222	0.4047787955
239	0.8330222222	0.4047582203
240	0.8330222222	0.4047582183
241	0.8330222222	0.4047102392
242	0.8330222222	0.404703077
243	0.8330222222	0.4046238747
244	0.8330222222	0.4046064778
245	0.8330222222	0.40460646
246	0.8332	0.4043797752
247	0.8332444444	0.4043355437
248	0.8332444444	0.4043042249
249	0.8332888889	0.4042257815
250	0.8333333333	0.4041181175
251	0.8333777778	0.4040238761
252	0.8333777778	0.4039807284
253	0.8333777778	0.4039762403
254	0.8334666667	0.4039536491
255	0.8334666667	0.403953628
256	0.8335111111	0.4039060073
257	0.8336	0.4037010389
258	0.8336	0.4036282301
259	0.8336	0.4036268896
260	0.8336	0.4036266428
261	0.8337777778	0.4034915902
262	0.8336888889	0.403374187
263	0.8336888889	0.4033741658
264	0.8336	0.4032139701
265	0.8336	0.4032129932
266	0.8337777778	0.4030186669
267	0.8337777778	0.4030186432
268	0.8338222222	0.402992395
269	0.8338666667	0.4029152708
270	0.8338222222	0.4028800623
271	0.8337777778	0.4028573745
272	0.8340888889	0.4027814847
273	0.8341333333	0.4026993446
274	0.8341333333	0.4026774662
275	0.8341777778	0.4026550858
276	0.8344444444	0.4026095845
277	0.8344444444	0.4025609177
278	0.8344444444	0.4025479669
279	0.8342666667	0.4024109815
280	0.8343111111	0.4023888489
281	0.8343111111	0.4023775404
282	0.8342666667	0.4022617965
283	0.8343555556	0.4022430254
284	0.8343111111	0.4022281588
285	0.8343555556	0.4021690497
286	0.8343555556	0.4021690393
287	0.8344888889	0.4021353997
288	0.8345333333	0.4020008296
289	0.8345333333	0.4018218422
290	0.8345333333	0.4018217566
291	0.8344888889	0.4017790606
292	0.8346222222	0.4017494613
293	0.8345333333	0.4016800868
294	0.8348444444	0.4014911437
295	0.8349333333	0.4014633502
296	0.8349333333	0.4014631673
297	0.8349333333	0.4014360654
298	0.8349777778	0.4014305284
299	0.8349333333	0.4013447956
300	0.8349333333	0.4013447902
301	0.8349777778	0.4012265863
302	0.8349333333	0.4011475889
303	0.8352444444	0.4010458976
304	0.8352444444	0.4009978732
305	0.8350666667	0.400972774
306	0.8350666667	0.4009638534
307	0.8350666667	0.4009617329
308	0.8351555556	0.4008821462
309	0.8350666667	0.4006940171
310	0.8351111111	0.400572336
311	0.8351111111	0.4005671095
312	0.8351111111	0.4005302361
313	0.8351111111	0.4005060525
314	0.8352888889	0.4004125275
315	0.8352888889	0.4004077757
316	0.8352888889	0.4004075149
317	0.8352888889	0.400403176
318	0.8352444444	0.4003927325
319	0.8353333333	0.4002365988
320	0.8353777778	0.4001855822
321	0.8352444444	0.4001335368
322	0.8352444444	0.400133513
323	0.8354222222	0.4000715523
324	0.8353333333	0.4000262728
325	0.8354222222	0.4000108486
326	0.8354222222	0.4000042915
327	0.8354222222	0.3999238943
328	0.8356444444	0.399790675
329	0.8357777778	0.3997897445
330	0.8358222222	0.3997568658
331	0.8358222222	0.3997555075
332	0.8358222222	0.3997476806
333	0.8358222222	0.3997446979
334	0.8359555556	0.3995410577
335	0.8360444444	0.3995336566
336	0.8360444444	0.3995218015
337	0.8360888889	0.3994365557
338	0.8360888889	0.3994328437
339	0.836	0.3994050588
340	0.8360444444	0.3993996532
341	0.836	0.3993964748
342	0.8360444444	0.399310604
343	0.8360444444	0.3993095037
344	0.836	0.399236574
345	0.8359555556	0.3991820565
346	0.8360444444	0.399085817
347	0.8360444444	0.3990857967
